side,price,size,time
buy,9198.02,0.0015,2018-04-24T04:24:05.447Z
buy,9165.01,0.0,2018-04-24T04:24:05.483Z
buy,9132.01,0.0015,2018-04-24T04:24:05.521Z
buy,9198.02,0.0,2018-04-24T04:24:05.560Z
sell,9229.9,2.5380000000000003,2018-04-24T04:24:05.574Z
buy,9099.17,0.0,2018-04-24T04:24:05.582Z
buy,9132.01,0.0,2018-04-24T04:24:05.583Z
buy,9200.1,0.01,2018-04-24T04:24:05.586Z
buy,9066.17,0.0015,2018-04-24T04:24:05.589Z
buy,9198.02,0.0015,2018-04-24T04:24:05.648Z
buy,9208.64,6.82669233,2018-04-24T04:24:05.649Z
buy,9165.01,0.0015,2018-04-24T04:24:05.651Z
buy,9208.65,42.69872948,2018-04-24T04:24:05.652Z
buy,9066.17,0.0,2018-04-24T04:24:05.690Z
buy,9099.17,0.0015,2018-04-24T04:24:05.723Z
buy,9132.01,0.0015,2018-04-24T04:24:05.725Z
buy,9200.1,0.0,2018-04-24T04:24:05.776Z
buy,9208.5,0.00217,2018-04-24T04:24:05.812Z
sell,9223.21,0.0,2018-04-24T04:24:05.823Z
buy,9204.0,0.001,2018-04-24T04:24:05.834Z
sell,9217.74,0.971,2018-04-24T04:24:05.841Z
buy,9132.01,0.0,2018-04-24T04:24:05.894Z
buy,9029.01,0.001,2018-04-24T04:24:05.910Z
buy,9099.17,0.0,2018-04-24T04:24:05.917Z
buy,9198.02,0.0,2018-04-24T04:24:05.919Z
buy,9165.01,0.0,2018-04-24T04:24:05.923Z
buy,9099.19,0.0015,2018-04-24T04:24:05.926Z
buy,9208.65,42.79872948,2018-04-24T04:24:05.930Z
buy,9066.19,0.0015,2018-04-24T04:24:05.932Z
buy,9200.01,0.04554534,2018-04-24T04:24:05.933Z
sell,9208.66,1.53232015,2018-04-24T04:24:05.945Z
buy,9055.0,3.88409901,2018-04-24T04:24:05.963Z
buy,9132.01,0.0015,2018-04-24T04:24:05.965Z
buy,9126.01,0.14190999999999998,2018-04-24T04:24:06.021Z
buy,9126.01,0.11304000000000002,2018-04-24T04:24:06.023Z
buy,9126.01,0.10155,2018-04-24T04:24:06.027Z
buy,9066.19,0.0,2018-04-24T04:24:06.035Z
buy,9198.02,0.0015,2018-04-24T04:24:06.091Z
buy,9165.01,0.0015,2018-04-24T04:24:06.093Z
buy,9132.01,0.0,2018-04-24T04:24:06.134Z
buy,9099.19,0.0,2018-04-24T04:24:06.181Z
buy,9066.19,0.0015,2018-04-24T04:24:06.184Z
buy,9165.01,0.0,2018-04-24T04:24:06.200Z
buy,9198.02,0.0,2018-04-24T04:24:06.201Z
buy,9132.01,0.0015,2018-04-24T04:24:06.204Z
buy,9029.0,0.055999999999999994,2018-04-24T04:24:06.267Z
buy,9028.99,0.001,2018-04-24T04:24:06.279Z
buy,9099.19,0.0015,2018-04-24T04:24:06.284Z
buy,9132.01,0.0,2018-04-24T04:24:06.309Z
buy,9198.02,0.0015,2018-04-24T04:24:06.445Z
buy,9165.01,0.0015,2018-04-24T04:24:06.447Z
buy,9208.65,43.24314858,2018-04-24T04:24:06.553Z
buy,9208.65,43.33114858,2018-04-24T04:24:06.840Z
buy,9029.01,0.0,2018-04-24T04:24:06.841Z
buy,9029.0,0.057,2018-04-24T04:24:06.849Z
buy,9165.01,0.0,2018-04-24T04:24:06.883Z
buy,9198.02,0.0,2018-04-24T04:24:06.899Z
buy,9132.01,0.0015,2018-04-24T04:24:06.908Z
buy,9099.2,0.0015,2018-04-24T04:24:06.911Z
buy,9099.19,0.0,2018-04-24T04:24:06.925Z
buy,9066.2,0.0015,2018-04-24T04:24:06.936Z
buy,9066.19,0.0,2018-04-24T04:24:06.948Z
sell,9232.71,0.0,2018-04-24T04:24:06.971Z
buy,9165.01,0.0015,2018-04-24T04:24:06.973Z
buy,9066.2,0.0,2018-04-24T04:24:06.990Z
sell,9233.14,0.0,2018-04-24T04:24:06.999Z
buy,9199.15,0.01,2018-04-24T04:24:07.012Z
buy,9198.02,0.0015,2018-04-24T04:24:07.039Z
sell,9242.22,0.25,2018-04-24T04:24:07.045Z
buy,9126.01,0.15964,2018-04-24T04:24:07.066Z
sell,9244.22,1.0,2018-04-24T04:24:07.073Z
buy,9099.2,0.0,2018-04-24T04:24:07.122Z
buy,9199.15,0.0,2018-04-24T04:24:07.123Z
buy,9165.01,0.0,2018-04-24T04:24:07.127Z
buy,9198.02,0.0,2018-04-24T04:24:07.128Z
buy,9132.01,0.0,2018-04-24T04:24:07.130Z
buy,9066.2,0.0015,2018-04-24T04:24:07.133Z
buy,9165.01,0.0015,2018-04-24T04:24:07.204Z
buy,9099.2,0.0015,2018-04-24T04:24:07.235Z
buy,9165.01,0.0,2018-04-24T04:24:07.253Z
buy,9132.01,0.0015,2018-04-24T04:24:07.319Z
buy,8853.31,0.0,2018-04-24T04:24:07.320Z
buy,9099.2,0.0,2018-04-24T04:24:07.328Z
buy,9198.02,0.0015,2018-04-24T04:24:07.338Z
buy,9165.01,0.0015,2018-04-24T04:24:07.353Z
buy,9198.97,0.01,2018-04-24T04:24:07.360Z
buy,9198.02,0.0,2018-04-24T04:24:07.375Z
