side,price,size
buy,8924,0.251
buy,8923.91,0.001
buy,8923.37,0.001
buy,8922.34,0.001
buy,8922.26,0.1345
buy,8922,0.01
buy,8921.73,0.01
buy,8921,0.04483802
buy,8920.93,0.0049
buy,8920.12,0.0916
buy,8920,1.4651198
buy,8919.57,0.001
buy,8919,0.1
buy,8917.09,0.001
buy,8917,0.1
buy,8916,0.0512
buy,8915.88,0.05
buy,8915.22,0.001
buy,8915,0.02030062
buy,8914.53,0.19581095
buy,8914.5,0.67765659
buy,8914.01,0.001
buy,8913,0.01
buy,8912.89,0.1
buy,8912.51,0.15674147
buy,8912.34,0.001
buy,8912.12,0.0563
buy,8912,0.25
buy,8911.76,0.01
buy,8911.14,0.0053899
buy,8911.13,0.005
buy,8911,0.77618834
buy,8910.87,0.001
buy,8910.33,0.26
buy,8910,2.22545
buy,8909.63,0.10397769
buy,8909,0.1412
buy,8908.51,0.001
buy,8908.23,0.16838362
buy,8907.88,0.035
buy,8907.4,0.34796309
buy,8907.19,0.0363782
buy,8906.52,0.001
buy,8906.21,0.1
buy,8906,0.272
buy,8905,8.525
buy,8904.01,0.1333
buy,8903.76,0.02977875
buy,8903.72,0.103
buy,8902.34,0.001
buy,8902.17,0.001
buy,8902,0.57
buy,8901.13,0.01
buy,8901.11,0.01023749
buy,8901.1,0.00134815
buy,8901,0.39221937
buy,8900.77,1
buy,8900.5,0.04943543
buy,8900.01,1.0412359
buy,8900,39.74098543
buy,8899.87,0.05
buy,8899.75,0.002758
buy,8899.7,0.0069
buy,8899,0.001
buy,8898.08,0.1
buy,8898.01,0.06513246
buy,8897.96,0.00108171
buy,8897.83,0.001
buy,8896.83,0.119955
buy,8896.69,0.005
buy,8896.11,0.001
buy,8895.99,0.01
buy,8895.12,0.85
buy,8895,0.056261
buy,8894.51,0.13791349
buy,8894.31,0.001405
buy,8894.01,0.001
buy,8893.48,0.001
buy,8893.29,0.001
buy,8892.34,0.001
buy,8892,0.102
buy,8891.76,0.03
buy,8891.04,0.714278
buy,8891,0.04498932
buy,8890.04,0.05
buy,8890,3.18786643
buy,8889.79,0.5
buy,8889.13,0.006625
buy,8889,0.225923
buy,8888.88,0.0833
buy,8888.74,0.00552146
buy,8888,3.82156038
buy,8887.11,0.005
buy,8887.06,0.01119487
buy,8886,0.035
buy,8885,1.5
buy,8884.78,0.001
buy,8884.01,0.001
buy,8881.78,0.04
buy,8881.54,0.02306764
buy,8881,3.05103997
buy,8880.43,0.001
buy,8880,1.18848475
buy,8878.76,0.00147486
buy,8878.35,0.25
buy,8878.23,0.05632
buy,8878,5.815
buy,8877.41,0.001
buy,8877,0.016
buy,8876.39,0.01
buy,8876.09,0.001
buy,8876,2.0094099
buy,8875.74,4
buy,8875.28,0.38834404
buy,8875.03,0.001
buy,8875.01,0.03
buy,8875,5.32857334
buy,8874.32,0.25536182
buy,8874.01,0.001
buy,8874,1
buy,8873,0.1
buy,8872.16,0.5
buy,8872,0.01
buy,8871.74,0.001
buy,8871.1,0.1
buy,8871.08,0.002254
buy,8871,0.16708013
buy,8870.89,0.5
buy,8870.31,0.04729243
buy,8870.03,0.001
buy,8870,3.49856684
buy,8869.99,0.05
buy,8869,0.05
buy,8868.87,0.01104989
buy,8868.77,0.02814201
buy,8867.94,0.25025163
buy,8867.69,0.01066668
buy,8867.55,0.0013927
buy,8867.45,0.05156456
buy,8867.39,0.001
buy,8867.21,0.0145623
buy,8866.91,0.01
buy,8866.57,0.00549355
buy,8866.37,0.0069
buy,8866,0.65
buy,8865.98,0.5
buy,8865.67,0.05
buy,8865.21,0.37692888
buy,8865.03,0.001
buy,8865,0.501
buy,8864.46,0.022563
buy,8864.11,0.27684429
buy,8864.01,0.001
buy,8864,0.11
buy,8863.04,0.001
buy,8863,1
buy,8862.89,0.0335
buy,8862.87,0.02980242
buy,8862,2.50695084
buy,8861.54,0.0063
buy,8861.11,0.05
buy,8861,3.22514163
buy,8860.03,0.001
buy,8860,1.23237704
buy,8859.81,0.04656478
buy,8859.54,0.05
buy,8859.5,0.03695219
buy,8859,0.12287955
buy,8858.74,0.1153664
buy,8858.7,0.001
buy,8858,1.01225785
buy,8857.36,0.15
buy,8857.05,0.4992445
buy,8857,0.51
buy,8856.76,0.002936
buy,8856,0.01
buy,8855.1,3.00475
buy,8855.03,0.001
buy,8855.02,1.66207964
buy,8855,0.53061187
buy,8854.72,0.15
buy,8854.35,0.011
buy,8854.01,0.001
buy,8853.31,0.189
buy,8853.15,0.04
buy,8852.71,0.43322226
